<meta message midi_port port=0 time=0>
note_on channel=9 note=36 velocity=113 time=30
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=36 velocity=0 time=12
note_on channel=9 note=42 velocity=76 time=11
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=40 velocity=127 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=40 velocity=0 time=22
note_on channel=9 note=42 velocity=70 time=2
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=36 velocity=125 time=28
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=13
note_on channel=9 note=42 velocity=78 time=13
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=40 velocity=0 time=18
note_on channel=9 note=42 velocity=80 time=9
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=36 velocity=0 time=15
note_on channel=9 note=42 velocity=78 time=10
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=40 velocity=0 time=15
note_on channel=9 note=42 velocity=76 time=9
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=36 velocity=125 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=15
note_on channel=9 note=42 velocity=78 time=11
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=40 velocity=0 time=15
note_on channel=9 note=42 velocity=78 time=11
